"filename", "language", "C#", "XML", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\MainForm.cs", "C#", 153, 0, 0, 0, 58, 37, 248
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\MarineControl.HMS.csproj", "XML", 0, 538, 0, 0, 0, 0, 538
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\Program.cs", "C#", 23, 0, 0, 0, 4, 6, 33
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\Properties\AssemblyInfo.cs", "C#", 15, 0, 0, 0, 17, 5, 37
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\Properties\Resources.Designer.cs", "C#", 273, 0, 0, 0, 142, 49, 464
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\Properties\Settings.Designer.cs", "C#", 13, 0, 0, 0, 8, 6, 27
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\Cfg\sensor.ini", "Ini", 0, 0, 0, 78, 0, 8, 86
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Data.Desktop.v20.1.xml", "XML", 0, 831, 0, 0, 0, 0, 831
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Data.v20.1.xml", "XML", 0, 21212, 0, 0, 0, 0, 21212
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Office.v20.1.Core.xml", "XML", 0, 1814, 0, 0, 0, 0, 1814
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Pdf.v20.1.Core.xml", "XML", 0, 6973, 0, 0, 0, 0, 6973
