Date : 2021-10-07 08:24:17
Directory : e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS
Total : 234 files,  425681 codes, 4612 comments, 2044 blanks, all 432337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         71 |    408,766 |         37 |         32 |    408,835 |
| C#       |        157 |     16,628 |      4,575 |      1,991 |     23,194 |
| Ini      |          3 |        194 |          0 |         21 |        215 |
| JSON     |          3 |         93 |          0 |          0 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\publish\Application Files\Cfg\sensor.ini                                                          | Ini      |         50 |          0 |          5 |         55 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\传感器\Sensor.cs                                                                                     | C#       |        202 |         54 |         34 |        290 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\传感器\SensorForm.Designer.cs                                                                        | C#       |        823 |        131 |          5 |        959 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\传感器\SensorForm.cs                                                                                 | C#       |        263 |         80 |         55 |        398 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\其他(CPU RAM)\GetSysPerformace.cs                                                                   | C#       |         39 |         10 |         17 |         66 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\其他(CPU RAM)\GetTime.cs                                                                            | C#       |         37 |          9 |         12 |         58 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\其他(CPU RAM)\SysInfo.cs                                                                            | C#       |        110 |         33 |         30 |        173 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\图表\MyChart.cs                                                                                     | C#       |         51 |         12 |         17 |         80 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\图表\MyChart.designer.cs                                                                            | C#       |         82 |         17 |          8 |        107 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\图表\PredictChart.cs                                                                                | C#       |         90 |         52 |         17 |        159 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\图表\PredictChart.designer.cs                                                                       | C#       |         49 |         20 |          6 |         75 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\图表\RealTimePlot.cs                                                                                | C#       |        158 |         46 |         36 |        240 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\图表\RealTimePlot.designer.cs                                                                       | C#       |         94 |         29 |          6 |        129 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\布局\MyLayout.cs                                                                                    | C#       |         90 |         29 |         19 |        138 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\数据库\DbFilter.Designer.cs                                                                          | C#       |        208 |         59 |          6 |        273 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\数据库\DbFilter.cs                                                                                   | C#       |         54 |          8 |          9 |         71 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\数据库\Export2Excel.cs                                                                               | C#       |        145 |         15 |         15 |        175 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\数据库\SQLiteHelper.cs                                                                               | C#       |        224 |         75 |         26 |        325 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\配置\ConfigHelper.cs                                                                                | C#       |         98 |         25 |         17 |        140 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\配置\IniFileHelper.cs                                                                               | C#       |         67 |         25 |         11 |        103 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\LiteNetLib.0.9.4\lib\net35\LiteNetLib.xml                                                                  | XML      |      1,359 |          0 |          1 |      1,360 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\LiteNetLib.0.9.4\lib\netcoreapp2.1\LiteNetLib.deps.json                                                    | JSON     |         23 |          0 |          0 |         23 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\LiteNetLib.0.9.4\lib\netcoreapp2.1\LiteNetLib.xml                                                          | XML      |      1,359 |          0 |          1 |      1,360 |
