"filename", "language", "XML", "C#", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\GalaSoft.MvvmLight.Extras.xml", "XML", 465, 0, 0, 0, 0, 1, 466
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\GalaSoft.MvvmLight.Platform.xml", "XML", 350, 0, 0, 0, 0, 1, 351
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\GalaSoft.MvvmLight.xml", "XML", 1812, 0, 0, 0, 0, 1, 1813
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\HandyControl.xml", "XML", 3504, 0, 0, 0, 0, 1, 3505
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\LiveCharts.Wpf.xml", "XML", 4199, 0, 0, 0, 0, 28, 4227
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\LiveCharts.xml", "XML", 5403, 0, 0, 0, 0, 94, 5497
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Microsoft.Bcl.AsyncInterfaces.xml", "XML", 223, 0, 0, 0, 0, 1, 224
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Microsoft.WindowsAPICodePack.Shell.xml", "XML", 25309, 0, 0, 0, 0, 188, 25497
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Microsoft.WindowsAPICodePack.xml", "XML", 2931, 0, 0, 0, 0, 4, 2935
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\NModbus.Serial.xml", "XML", 13, 0, 0, 0, 0, 1, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\NModbus.xml", "XML", 2039, 0, 0, 0, 0, 3, 2042
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Newtonsoft.Json.xml", "XML", 11305, 0, 0, 0, 0, 1, 11306
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Converters.Wpf.xml", "XML", 3383, 0, 0, 0, 3, 3, 3389
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Core.xml", "XML", 10946, 0, 0, 0, 2, 8, 10956
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Css.xml", "XML", 1422, 0, 0, 0, 0, 1, 1423
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Dom.xml", "XML", 307, 0, 0, 0, 0, 1, 308
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Model.xml", "XML", 6600, 0, 0, 0, 5, 32, 6637
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Rendering.Gdi.xml", "XML", 886, 0, 0, 0, 0, 3, 889
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Rendering.Wpf.xml", "XML", 884, 0, 0, 0, 0, 19, 903
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\SharpVectors.Runtime.Wpf.xml", "XML", 1096, 0, 0, 0, 0, 4, 1100
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 38
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Diagnostics.DiagnosticSource.xml", "XML", 424, 0, 0, 0, 0, 41, 465
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Memory.xml", "XML", 353, 0, 0, 0, 0, 2, 355
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Numerics.Vectors.xml", "XML", 2621, 0, 0, 0, 0, 0, 2621
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Runtime.CompilerServices.Unsafe.xml", "XML", 256, 0, 0, 0, 0, 2, 258
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Text.Encodings.Web.xml", "XML", 932, 0, 0, 0, 0, 4, 936
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Text.Json.xml", "XML", 2551, 0, 0, 0, 0, 110, 2661
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.Threading.Tasks.Extensions.xml", "XML", 165, 0, 0, 0, 0, 1, 166
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\System.ValueTuple.xml", "XML", 8, 0, 0, 0, 0, 1, 9
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\com.ini", "Ini", 0, 0, 0, 12, 0, 5, 17
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\Cfg\DefaultPrjPath.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\Cfg\ProjectRecordList.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\GalaSoft.MvvmLight.Extras.xml", "XML", 465, 0, 0, 0, 0, 1, 466
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\GalaSoft.MvvmLight.Platform.xml", "XML", 350, 0, 0, 0, 0, 1, 351
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\GalaSoft.MvvmLight.xml", "XML", 1812, 0, 0, 0, 0, 1, 1813
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\HandyControl.xml", "XML", 3504, 0, 0, 0, 0, 1, 3505
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\LiveCharts.Wpf.xml", "XML", 4199, 0, 0, 0, 0, 28, 4227
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\LiveCharts.xml", "XML", 5403, 0, 0, 0, 0, 94, 5497
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\Microsoft.Bcl.AsyncInterfaces.xml", "XML", 223, 0, 0, 0, 0, 1, 224
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\Microsoft.WindowsAPICodePack.Shell.xml", "XML", 25309, 0, 0, 0, 0, 188, 25497
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\Microsoft.WindowsAPICodePack.xml", "XML", 2931, 0, 0, 0, 0, 4, 2935
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\NModbus.Serial.xml", "XML", 13, 0, 0, 0, 0, 1, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\NModbus.xml", "XML", 2039, 0, 0, 0, 0, 3, 2042
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\Newtonsoft.Json.xml", "XML", 11305, 0, 0, 0, 0, 1, 11306
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\OxyPlot.Wpf.xml", "XML", 6625, 0, 0, 0, 0, 1, 6626
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\OxyPlot.xml", "XML", 22404, 0, 0, 0, 0, 1, 22405
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Converters.Wpf.xml", "XML", 3383, 0, 0, 0, 3, 3, 3389
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Core.xml", "XML", 10946, 0, 0, 0, 2, 8, 10956
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Css.xml", "XML", 1422, 0, 0, 0, 0, 1, 1423
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Dom.xml", "XML", 307, 0, 0, 0, 0, 1, 308
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Model.xml", "XML", 6600, 0, 0, 0, 5, 32, 6637
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Rendering.Gdi.xml", "XML", 886, 0, 0, 0, 0, 3, 889
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Rendering.Wpf.xml", "XML", 884, 0, 0, 0, 0, 19, 903
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\SharpVectors.Runtime.Wpf.xml", "XML", 1096, 0, 0, 0, 0, 4, 1100
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 38
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Diagnostics.DiagnosticSource.xml", "XML", 424, 0, 0, 0, 0, 41, 465
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Memory.xml", "XML", 353, 0, 0, 0, 0, 2, 355
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Numerics.Vectors.xml", "XML", 2621, 0, 0, 0, 0, 0, 2621
